Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Machinery & Medical Equipment,,,,,,,,linear accelerator price,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,owner operator,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,owner operators,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,owner-operator,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,new authority,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,for owner operators,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,box truck,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,hotshot,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,hot shot,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatch software,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatch training,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatcher salary,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,become a dispatcher,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatch company for sale,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,agreement template,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatcher jobs,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,cdl,Negative Broad,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,single truck,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,one truck,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,dispatch percentage,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,how much do dispatchers charge,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
